time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi,sum_p
2018-11-13,13.065917973753878,188.58292704428482,72.92979544613559,19.279199783093805,32.18906561727645,1028.817098289347,2094.942444158429,3449.8064483123208
2018-11-14,12.934993321234035,187.8380147153568,73.10331129915035,19.202355257600505,32.09411055671088,1021.0315616147846,2083.698102913376,3429.902449678213
2018-11-15,13.086054143014657,190.90859307260683,73.12791184541896,19.368494976830913,32.21706219533018,1031.848166450997,2120.159365758773,3480.7156484429715
2018-11-16,13.147812272981074,192.5318938276124,73.20574328799458,19.386582337288253,32.416771118780126,1034.1422541992783,2126.672539151151,3491.5035961950857
2018-11-19,13.296858347769195,193.01292432571444,73.2374194199519,19.366889589808075,32.26465637802152,1016.930927007066,2141.980405334734,3490.0900804030653
2018-11-20,12.989337004686186,187.50496086006683,73.20293179699246,19.87829454475073,31.870604541915267,998.4724021922294,2098.7980413767377,3422.7165723173784
2018-11-21,13.021964443862405,188.2167810346303,73.1783781089072,19.693924763994282,31.669729094379754,1001.51102912735,2109.4486515144426,3436.7404580875664
2018-11-22,12.973272706901234,188.0784163237678,73.1836262254445,19.61911372872991,31.506649027216774,1001.51102912735,2113.3424229626353,3440.2145301020455
2018-11-23,12.686913471952188,180.78219135010804,73.15719821002448,19.026369164630005,30.946484161325053,994.946234368265,2105.8919503939505,3417.437341120255
2018-11-26,12.677906035377946,180.4804237961035,73.19042066203299,18.827479550133646,30.499705436550936,1010.400146728598,2142.3199123154063,3468.395994524203
2018-11-27,12.661753753850133,181.31473618341334,73.2121628591161,18.90653594219175,30.28506500480567,1013.6957719617138,2138.728285835659,3468.80431154075
2018-11-28,12.830017818931099,183.5547130367975,73.24786879484316,18.82062989883619,30.673517525301182,1036.9843530241674,2167.204636893992,3523.3157369928686
2018-11-29,12.663420198227543,179.58126186103613,73.27532769029729,19.44947783331643,30.59489380193362,1034.705382822827,2148.3993614788865,3498.6691256865242
2018-11-30,12.804822988050928,180.86015709391364,73.2650657481395,19.35515242690775,30.73161042476267,1043.1749884964652,2152.9250382643127,3513.116835442552
2018-12-03,13.161036875285413,186.5844386170686,73.36693543878334,19.70569760216178,31.221083931068723,1054.588736436843,2207.7732844314023,3586.401213332613
2018-12-04,13.188317082309462,187.4537647186555,73.41421534580249,19.882968004750552,31.412160576285434,1020.4570948310304,2214.1410708631574,3559.9495914219915
2018-12-05,13.124930849504954,186.0690721161426,73.49546743576401,19.756534857885065,31.58247309277896,1020.4570948310304,2178.3417654083064,3522.8273385914126
2018-12-06,12.841077940442009,182.28323957080792,73.50919688349109,19.775157347350017,31.33167041438096,1018.9037668828531,2124.4673682120933,3463.1114772514184
2018-12-07,12.840640443298607,182.2779046593089,73.49982524681731,19.71893312628342,31.560542439970202,995.1427624784966,2116.9446082719255,3431.9852166661003
2018-12-10,12.692111373898586,180.14364666020882,73.67685546358473,20.042329423217858,31.395362629453196,996.8963979236407,2091.6537748647843,3406.500478338788
2018-12-11,12.752863341154205,181.64196750554902,73.7651362810516,20.359054445190715,31.22411689369121,996.5411355705298,2093.2205427253525,3409.504816762519
2018-12-12,12.796424980154304,181.5491458308068,73.77155585217312,20.21039560687568,31.293175119557077,1001.9418792151656,2126.9308243661126,3448.493400970845
2018-12-13,12.994522395182909,183.60844646377075,73.70960933375953,20.151388714969496,31.575707253082644,1001.7415717181987,2154.3545413408287,3478.1357872197927
2018-12-14,12.777462869187032,179.22585592495722,73.62887268381506,19.69356801132254,31.600204258879657,982.6216542246977,2119.464919661943,3419.0125376348024
2018-12-17,12.75843618299564,178.95906902613444,73.65909621208795,19.750434387198272,31.694226100176767,962.2091864677502,2118.9117994374496,3397.942247813793
2018-12-18,12.626177648502598,177.99295829075993,73.62816981106452,19.995951575891354,31.538845091978562,962.2923329759251,2096.678965509334,3374.753400903456
2018-12-19,12.475632621324625,175.53962630128188,73.62704521466367,19.877152936201153,31.317205515719863,947.4771369738451,2100.8326466078024,3361.1464461708388
2018-12-20,12.379945861415996,176.0298224335473,73.66209513582355,19.721002291779527,31.43899063025359,932.5334418227674,2081.188350352901,3326.9536485284884
2018-12-21,12.22649172039148,174.8472407423498,73.69067862767854,19.802199199868088,31.366666136948123,913.3341572078268,2091.738245501124,3317.0056791361867
2018-12-24,12.262020201511227,176.64804404462976,73.65206748458263,19.907227186429033,31.11959633562395,888.5716153186357,2083.450376527957,3285.6109470993692
2018-12-25,12.177601818211294,174.61452124120197,73.65005258269777,19.942367324595654,30.503904923259,888.5716153186357,2083.450376527957,3282.910439736558
2018-12-26,12.11605840086507,173.90758968035144,73.63772888047177,20.106830306268876,30.611691748765857,932.6392646513535,2083.450376527957,3326.4695401960334
2018-12-27,12.069535987839132,171.9597849785699,73.66401632134168,19.72592547864957,30.867393828323262,940.625108822883,2069.4396219427817,3318.3513873603883
2018-12-28,12.150851935215318,172.23938640919638,73.88991962336277,19.94004843222933,30.91312157247769,939.4572783216986,2071.4961570505884,3320.0867633447688
2019-01-02,10.786744666544049,153.67364814344978,81.98682557231119,17.208735203343053,27.600212060594313,860.4123689972619,1837.0192619288405,2988.6877965723447
