,time,pcarp_port_returns,pcarp_port_volatility,pcarp_port_maxdrawdown,pcarp_port_sharpe,pcarp_port_calmar
3035,2021-06-30,0.0991733011040861,0.03734598176990074,0.04402563539637279,1.852228749274355,2.252626230404317
3099,2021-09-30,0.12002289546401684,0.04207678419842828,0.04215154287335424,2.1394908660196403,2.847414051358209
3160,2021-12-31,0.09985891657864904,0.04283623959747706,0.05056877399809416,1.6308368156285022,1.9747150006526266
3218,2022-03-31,0.060825396542311234,0.0425894104194196,0.07953660282480499,0.7237807764592981,0.7647472280943547
3277,2022-06-30,0.03453750839429235,0.05069730832671089,0.09440161023537373,0.08950195866516397,0.3658571957425215
3342,2022-09-30,0.0017776745643034314,0.05295222410228843,0.1087070026199586,-0.5329771490084945,0.01635289835483929
3402,2022-12-30,0.00530065999312723,0.052302385225770326,0.1090853592193262,-0.4722411779167379,0.048591855323772304
3461,2023-03-31,0.0012714968924689696,0.04574219646867451,0.08874107413830054,-0.6280525494049042,0.014328166576926671
3520,2023-06-30,0.026375280627658124,0.036655578044878304,0.06170170371050117,-0.09888588765137038,0.4274643817196453
3584,2023-09-28,0.037258628685243794,0.029144078485336393,0.0441448259247564,0.24906015432589215,0.8440089615202032
3644,2023-12-29,0.0500971458217756,0.02103479678415596,0.03674835904492933,0.9554238164503389,1.3632485129615108
3702,2024-03-29,0.0630292853788045,0.0197751666340973,0.03527765014455443,1.6702405592807403,1.7866633724336627
3761,2024-06-28,0.06846471617155254,0.017445827524216185,0.02899246302323545,2.2048089216840236,2.3614660167603843
3825,2024-09-30,0.06838311043639118,0.022849000922502992,0.03359893389525387,1.6798594637277695,2.035276198035881
3870,2024-12-09,0.09310237394592906,0.022195881584094593,0.03072264474022191,2.8429766894750315,3.0304153412951447
