,time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi
2306,2018-06-29,0.004982656181728584,0.05101712232857653,0.40511759452167434,0.004404353971857215,0.02880306384111283,0.4054015501820647,0.10027378482859362
2370,2018-09-28,0.004484390563791093,0.04591541009616884,0.43873010169253485,0.003963918574914962,0.02592275745707594,0.3907371285399747,0.09024640634573426
2430,2018-12-28,0.004035951507411984,0.04132386908655196,0.468581833688228,0.0035675267174234662,0.023330481711441944,0.37793867352245153,0.08122176571116084
2488,2019-03-29,0.003632468914090379,0.037191495289253584,0.5190787377288504,0.003210890439826001,0.020997536658369897,0.3427896754211152,0.07309962901148773
2548,2019-06-28,0.003269222022681341,0.033472345760328225,0.5671708639559654,0.0028898013958434006,0.01889778299253291,0.3085107078790037,0.06578966611033896
2613,2019-09-30,0.0029422998691483087,0.030125111267116953,0.6104537764479478,0.00260082130046414,0.01700800472970608,0.2776596378985726,0.05921069959206869
2674,2019-12-31,0.002648069882233478,0.027112600140405257,0.649408398803153,0.002340739170417726,0.015307204256735473,0.24989367410871535,0.053289629632861824
2732,2020-03-31,0.002383262940874551,0.024401340140784922,0.6521251473004105,0.002106665300947078,0.013776483871441743,0.2572467181359069,0.04796066670470424
2791,2020-06-30,0.002144936646787096,0.02196120612670643,0.6869126325703694,0.0018959987708523705,0.012398835484297568,0.23152204632275922,0.043164600034233815
2857,2020-09-30,0.0019304431103249252,0.019765085594804218,0.7182213689854146,0.0017063990214708606,0.011158952067107911,0.2083698416904833,0.0388481401933712
2917,2020-12-31,0.0017373987992928318,0.017788577035325874,0.7404724918078402,0.0015357591193237746,0.01004305686039712,0.19345959780046787,0.03496332617403408
2975,2021-03-31,0.0015636589193640735,0.016009719331793286,0.7576855688783335,0.0013821832073918963,0.009038751174357798,0.18285331176914377,0.03146699355663194
3035,2021-06-30,0.0014072930274276838,0.014408747398613966,0.6827312349346417,0.0012439648866527223,0.06704696125527228,0.19437785068020594,0.03878411597050272
3099,2021-09-30,0.0012665637246849154,0.01296787265875257,0.6144581114412496,0.0011195683979874501,0.10400244567085284,0.2312798850710686,0.03490570437345516
3160,2021-12-31,0.009913655284952671,0.020444833999239707,0.5671930150816613,0.00978136009235907,0.10956468602678535,0.24291541798723523,0.04018888854959191
3218,2022-03-31,0.008922289756457404,0.01840035059931574,0.5786253256144746,0.008803224083123163,0.09860821742410682,0.2504722717825,0.03616999969463272
3277,2022-06-30,0.008030060780811664,0.016560315539384165,0.5884931230018154,0.007922901674810847,0.12101706573406826,0.22542504460424997,0.03255299972516945
3342,2022-09-30,0.007227054702730498,0.014904283985445748,0.6296438107016339,0.007130611507329763,0.10891535916066143,0.20288254014382498,0.029297699752652506
3402,2022-12-30,0.006504349232581275,0.01341385558719908,0.6666794296292198,0.00641755035668863,0.09802382324575025,0.18259428612955483,0.02636792977785713
3461,2023-03-31,0.0058539143137753035,0.012072470034313705,0.7000114865786262,0.0057757953240550036,0.08822144097741708,0.16433485752818452,0.023731136806594045
3520,2023-06-30,0.005268522882397773,0.010865223030882335,0.7300103379207636,0.005198215791649504,0.07939929687967537,0.14790137177536608,0.02135802312593464
3584,2023-09-28,0.004741670594157996,0.009778700727794102,0.7570093041286873,0.004678394212484553,0.07145936719170784,0.13311123459782948,0.019222220813341177
3644,2023-12-29,0.0042675035347421965,0.008800830655014693,0.7813083737158185,0.004210554791236098,0.06431343047257027,0.11980011113804653,0.01729999873200706
3702,2024-03-29,0.0038407570179730018,0.007920752031785118,0.7898467508851799,0.003789501736456428,0.05788209202713627,0.12115086290892971,0.01557000613095777
3761,2024-06-28,0.0034566813161757016,0.007128676828606606,0.8108620757964248,0.0034105515628107853,0.05209388282457022,0.1090357766192899,0.014013005517861993
3825,2024-09-30,0.003111013316700118,0.006415809359928753,0.7749910804748223,0.0030694965003599905,0.04688449535477498,0.15291698638393486,0.012611705127948755
3870,2024-12-09,0.0027999119893219065,0.005774228428037031,0.7917769667051753,0.002762546854330429,0.04219604582351259,0.14334029344490268,0.011350534621342974
