time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi
2009/5/8,0.007970461,0.004603549,0.000200657,-0.014879189,0.007912518,0.02378394,0.009938807
2009/5/11,-0.023177244,-0.038494084,0.000776076,-0.045077368,-0.028371798,-0.0217472,-0.017514311
2009/5/12,0.022941666,0.02444411,0.000444446,0.015273137,0.00855528,-0.000979319,0.003836941
2009/5/13,0.009082685,0.006829381,0.00137566,0.03156878,0.009232014,-0.027263206,-0.005496216
2009/5/14,-0.007636748,0.003828599,0.000234892,-0.003121562,-0.019925513,0.010298404,-0.030830384
2009/5/15,0.001259324,0.007420597,0.000234837,-0.001839549,0.006760275,-0.011475674,0.014941283
2009/5/18,0.005157066,0.007588073,0.000704179,0.002538384,-0.012389663,0.029936576,0.01373497
2009/5/19,0.010445252,0.00902564,0.000529981,0.00593011,0.019343459,-0.001738327,0.030153597
2009/5/20,-0.009630092,-0.005746996,0.000338693,0.019202846,-0.005666454,-0.005144635,-0.003894337
2009/5/21,-0.022598989,-0.018004593,-0.000199728,0.048007551,-0.005512924,-0.01689961,-0.0159396
2009/5/22,-0.003399578,0.00217133,-0.00072109,-0.033348299,0.005665544,-0.001498313,-0.007995528
2009/5/25,0.00438309,0.0051998,-0.000182527,-0.009011644,0.002750833,0,0.003469475
2009/5/26,-0.012042949,0.00102286,-0.00018256,-0.017493426,-0.008681154,0.025962189,-0.007636911
2009/5/27,0.014581215,0.000579706,0.000339014,0.023176143,0.008224929,-0.019153403,0.051260661
2009/6/1,0.03511541,0.016822392,7.82E-05,0.093111836,0.028291597,0.054274647,0.054580584
2009/6/2,0.002361168,0.006456548,-8.69E-05,0.034314206,0.001039346,0.001981342,-0.02680101
2009/6/3,0.025598152,0.007800922,0.000382343,0.059850626,0.009599779,-0.013834487,0.010138748
2009/6/4,0.004874832,-0.001277372,-4.34E-05,-0.019273529,-0.010833922,0.011418207,-0.00397534
2009/6/5,-0.004902389,-0.005970321,-7.82E-05,0.042645333,0.017029367,-0.002517863,0.009507811
2009/6/8,0.003115606,-0.001652248,0.000112951,-0.026217309,-0.009222655,-0.001011052,-0.023077385
2009/6/9,0.004087984,0.004964319,-0.000286746,-0.017947603,0.005125187,0.003497083,-0.010734904
2009/6/10,0.009760838,0.010722809,-4.35E-05,0.009394689,0.003275072,-0.003486435,0.039477878
2009/6/11,-0.009398472,-0.005956513,-0.000330308,-0.026004218,-0.001792222,0.006093308,0.000285768
2009/6/12,-0.018863477,-0.021938595,-0.000469573,-0.030653996,-0.005935104,0.001396013,0.005236134
2009/6/15,0.020402998,0.014139111,0.000173942,-0.022060446,-0.013312336,-0.024055536,-0.020901162
2009/6/16,-0.00167763,-0.002196222,0.000104351,0.051681957,0.000476796,-0.012801901,-0.018190372
2009/6/17,0.016534063,0.01617375,0.000113034,0.018136356,0.00083026,-0.00138258,-0.004463465
2009/6/18,0.015438631,0.007993614,2.61E-05,0.000604869,-0.003711203,0.008375844,-0.017174353
2009/6/19,0.007355882,0.000808118,-2.61E-05,-0.015681405,0.001354988,0.003109374,0.008082915
2009/6/22,0.000831472,-0.008458661,-0.000339141,0.040423748,-0.011286468,-0.031078361,0.007705388
2009/6/23,0.000432015,-0.003830382,-0.000278355,-0.01409794,-0.001659332,0.002304071,-0.029283674
2009/6/24,0.01187354,0.011528428,-0.00107065,0.074599579,0.003225999,0.006503219,0.019971091
2009/6/25,-0.000900515,-0.001157909,-0.000479117,-0.002058196,0.006594287,0.021217576,0.021173517
2009/6/26,0.003361971,0.00610479,8.71E-06,-0.002857945,0.011336556,-0.001478936,0.017639939
2009/6/29,0.016343987,0.008180835,0.00013069,-0.017526191,-0.006292872,0.009024344,-0.003864932
2009/6/30,-0.004253726,-0.007078921,-0.000487996,0.051212302,0.008193214,-0.008567381,-0.008116571
2009/7/1,0.022307232,0.014805007,-0.000540559,0.002156796,0.001193442,0.004352434,0
2009/7/2,0.013636473,0.010435537,-0.000191882,0.046251711,-0.004772383,-0.029577647,-0.010979179
2009/7/3,0.013549202,0.012448362,-0.000226817,-0.012256914,-0.00561046,0,0.001393546
2009/7/6,0.014210563,0.002168445,-8.72E-06,-0.004778398,-0.007825111,0.002562476,-0.012381186
2009/7/7,-0.010203736,-0.000961594,4.36E-05,-0.000993448,0.006563161,-0.019879851,-0.006536586
2009/7/8,0.003519029,0.012252217,-0.000410131,0.009090879,-0.013837513,-0.001669895,-0.007936295
2009/7/9,0.013050352,0.018638555,-0.00103917,0.006803569,0.004908857,0.003540952,0.003915311
2009/7/10,0.000590468,0.004899117,-0.001381409,0.002174666,0.001408868,-0.004029952,-0.004629428
2009/7/13,-0.011036428,0.009197966,0.000139976,-0.044052555,-0.009922375,0.024627968,-0.025959662
2009/7/14,0.027509142,0.015732425,-0.000349978,0.011323483,0.008563371,0.00530194,0.035922651
2009/7/15,0.011097315,0.009071766,4.38E-05,0.024674283,0.015818377,0.029199472,0.020636283
2009/7/16,0.002268912,-0.005060028,-0.005448935,-0.009102975,-0.000690046,0.008604637,0.005636684
2009/7/17,0.005289535,0.006158776,-0.002166753,0.004645515,0.003911254,-0.000382751,0.023881716
2009/7/20,0.02005824,0.017128706,-0.000785064,0.04952978,0.017407065,0.011366703,0.036378052
2009/7/21,-0.014385699,-0.024572908,0.001393286,-0.020996953,-0.009102223,0.003620702,-3.27E-05
2009/7/22,0.018776063,0.018209172,0.000678304,0.002252482,-0.00016482,-0.000534409,-0.013087219
2009/7/23,0.012411143,0.009849746,0.000528229,0.000491377,0.00263054,0.023022629,0.029159451
2009/7/24,0.004259026,-0.006413934,-0.001850025,-0.013000125,0.00355858,0.003037511,0.008295921
2009/7/27,0.02052916,0.016414578,0.001471489,0.081116712,0.007943337,0.002977407,0.013363388
2009/7/28,0.003251444,0.012573653,0.000105652,-0.013592307,0.004738646,-0.00260985,0.018246839
2009/7/29,-0.053964748,-0.066353282,-0.000510757,-0.082495764,-0.016252768,-0.004573436,-0.023997159
2009/7/30,0.021217685,0.010170595,-0.00179853,-0.009753684,0.006139985,0.011825409,0.00488389
2009/7/31,0.027087568,0.032456221,0.000185292,0.032611915,0.024462404,0.000739529,0.016627265
2009/8/3,0.013936254,0.023069014,-0.000864991,0.010650694,0.024352152,0.015225583,0.011306373
2009/8/4,-0.000110383,0.012134229,-8.83E-05,8.53E-05,0.001603229,0.003007551,-0.000520632
2009/8/5,-0.012136633,-1.97E-06,-0.000680221,0.015121476,0.003222086,-0.002917791,-0.014611616
2009/8/6,-0.021020604,-0.013338134,0.000300414,-0.04109906,-0.002754172,-0.005640579,0.019543087
2009/8/7,-0.029933457,-0.030930022,0.0002385,-0.040232679,-0.012939113,0.013349737,-0.02538602
2009/8/10,-0.002973677,0.010202267,7.07E-05,-0.003802057,0.025520997,-0.003350552,0.026833804
2009/8/11,0.003333658,0.005134459,-7.95E-05,-0.003602584,0.008253423,-0.012740935,0.006889482
2009/8/12,-0.045731334,-0.047437562,0.000238445,-0.06130755,-0.004852984,0.011459209,-0.030789189
2009/8/13,0.012699382,0.002120485,0.000388456,0.025150182,0.02035975,0.006856468,0.020634935
2009/8/14,-0.028403971,-0.045607713,-0.000706396,-0.036103674,-0.009752779,-0.008567996,0.001534168
2009/8/17,-0.062996742,-0.072247881,-0.000945585,-0.104379663,-0.030869316,-0.024559914,-0.036838757
2009/8/18,0.010048788,0.019659545,-0.000176844,0.040735334,0.005503371,0.010094531,0.008338464
2009/8/19,-0.050901354,-0.0531423,8.84E-05,-0.067203729,-0.021368451,0.006837444,-0.017488505
2009/8/20,0.042163376,0.038309534,0.000150306,0.035909489,0.015614354,0.010889255,0.018600346
2009/8/21,0.018662756,0.02738716,0.000176802,0.017428558,-0.009386695,0.01845147,-0.006407458
2009/8/24,0.008075622,0.021046032,0.000265144,0.01762541,0.029460072,-0.000545889,0.016542434
2009/8/25,-0.037790228,-0.015903056,5.30E-05,-0.046189659,-0.00629122,0.002366611,-0.004915626
2009/8/26,0.019915924,0.030842834,0.000123703,0.015358067,0.004144419,0.000116725,0.001031025
2009/8/27,-0.005083214,0.0095225,0.000159025,-0.005319276,-0.002074806,0.002777914,-0.010495191
2009/8/28,-0.035315149,-0.027401255,-0.000866107,0.016477674,0.011536366,-0.001990379,-0.007145594
2009/8/31,-0.073713157,-0.074464659,0.001466639,-0.060607589,-0.023416539,-0.008109142,-0.018805335
2009/9/1,0.004733554,-0.010032781,0.000291305,-0.029329799,-0.002053467,-0.022372209,0.007481067
2009/9/2,0.016470845,0.006082643,0.000758759,-0.001436672,-0.022806312,-0.003301906,-0.017784808
2009/9/3,0.054208452,0.048531783,0.000599542,0.091325895,0.014693623,0.008498592,0.012202659
2009/9/4,0.008215926,0.017819008,0.000167455,0.0344809,0.00216362,0.01303221,0.027792969
2009/9/7,0.008757366,0.010886446,0.000440536,0.041410047,-0.004592425,0,0.015175242
2009/9/8,0.021277978,0.018413848,0.000369901,0.052918326,0.009380294,0.008806056,0.02112833
2009/9/9,0.007522017,0.005718412,6.16E-05,-0.005772379,0.000695135,0.007752278,-0.01043745
2009/9/10,-0.010064851,-0.008819123,3.52E-05,-0.024705493,0.001192141,0.010368274,0.010425585
2009/9/11,0.023503175,0.016649657,-0.000228948,0.019425007,-0.007507899,-0.001351306,0.004350339
2009/9/14,0.016921715,0.025687226,0.000167313,0.002255169,-0.020570373,0.006319121,-0.010891103
2009/9/15,0.00280411,0.010287121,0.00107366,0.001438896,0.005549902,0.003130399,-0.003149833
2009/9/16,-0.01353681,0.001548647,-0.000580689,0.068768948,0.010458716,0.015207304,0.025388585
2009/9/17,0.018807754,0.022904552,9.68E-05,0.004484028,0.006334712,-0.003064311,0.016937064
2009/9/18,-0.036940081,-0.033896052,4.40E-05,-0.054871225,-0.009403833,0.002633813,-0.006686084
2009/9/21,0.002782334,0.017126203,-0.000149605,-0.026125331,0.001370558,-0.003413101,-0.006989009
2009/9/22,-0.024475205,-0.025593841,-0.000211245,0.016367784,-0.003276544,0.006553349,0.010575494
2009/9/23,-0.022923282,-0.030805958,-0.000545924,-0.036942118,-0.009397827,-0.010119522,-0.004878959
2009/9/24,0.006792736,-0.007547659,-0.000308314,-0.016221815,-0.003040071,-0.009556581,-0.0255506
2009/9/25,-0.007296447,-0.008967223,7.93E-05,-0.040292735,-0.006177238,-0.006109338,-0.001251576
2009/9/28,-0.028482298,-0.02930899,0.000202601,-0.048384177,-0.015546529,0.017652877,-0.020955381
2009/9/29,-0.000120102,-0.018388499,-4.40E-05,0.003524155,0.010536162,-0.00223207,0.020421073
2009/9/30,0.01088132,0.008430665,6.17E-05,0.025914468,0.014627474,-0.003333824,-0.002760168
2009/10/9,0.051532083,0.050410361,0.000545928,0.09538415,0.015005085,0.013539813,0.025637653
2009/10/12,-0.003824343,0.005971047,-0.002062002,0.023299649,0.009411485,0.004376823,-0.009350328
2009/10/13,0.014766851,0.016871965,-0.000970788,0.014534325,0.000360802,-0.002791504,0.007857077
2009/10/14,0.008989285,0.009131793,-0.00083033,-0.001935465,0.006086308,0.017393671,0.019335503
2009/10/15,0.003786589,0.003178566,-0.00047731,-0.020595206,-0.006847219,0.004148815,0.005131521
2009/10/16,0.000637521,0.003366798,-0.000123784,0.006613654,0.005902489,-0.008131019,-0.003149618
2009/10/19,0.026618759,0.024262467,0.000459693,0.022094688,0.010713282,0.009361385,0.012262029
2009/10/20,0.014438281,0.015025277,-0.001415115,0.023196712,0.002105469,-0.006258672,0.008276295
2009/10/21,-0.002457145,-0.00671836,-0.000398362,-0.025866938,-0.006241175,-0.008893203,-0.002990915
2009/10/22,-0.00654053,0.004111645,7.08E-05,-0.003020629,0.002038958,0.010587366,-0.004832402
2009/10/23,0.019505477,0.013566829,-0.000460495,0.012964531,0.013667955,-0.012253261,0.016929372
2009/10/26,0.000289125,0.000823009,0.000584438,-0.01364331,0.007730118,-0.011786491,0
2009/10/27,-0.029580869,-0.026862232,0.00043368,-0.042670812,-0.007485644,-0.003323385,-0.018773879
2009/10/28,0.004396423,0.010043731,-0.001115558,0.002493896,-0.001238723,-0.019734359,-0.018575487
2009/10/29,-0.025022982,-0.018077807,0,-0.031401884,-0.012598319,0.022270143,-0.023083966
2009/10/30,0.010209631,0.013195921,0.001062464,0.013896074,0.010569989,-0.028465985,0.022683594
2009/11/2,0.033699593,0.0329189,0.001167408,0.014640669,-0.002313986,0.006435592,-0.006118084
2009/11/3,0.012484221,0.024331094,-0.001601111,0.020532849,0.001631221,0.002423036,-0.017738532
2009/11/4,0.005359909,0.007440403,-0.000655337,0.016381409,0.005280513,0.00104211,0.017487809
2009/11/5,0.003015235,0.010305279,-0.000664631,-0.001758301,-0.00393367,0.019052883,-0.006297411
2009/11/6,0.005384233,0.004680505,0.000407693,0.01171436,0.00424971,0.002500083,0.016192933
2009/11/9,0.003658795,0.007463029,0.000389812,0.045364218,0.003350568,0.021995171,0.017159981
2009/11/10,0.002282429,0.001574838,-0.000407534,-0.024390372,-0.004085478,-6.40E-05,0.002725507
2009/11/11,-0.00231504,0.004003432,0.000265802,0.001109258,0.004787275,0.005019358,0.01599534
